model,decile,excess_return
surface_cnn,1,-0.013253
surface_cnn,2,-0.002749
surface_cnn,3,-0.000597
surface_cnn,4,0.000581
surface_cnn,5,0.002047
surface_cnn,6,0.002493
surface_cnn,7,0.002317
surface_cnn,8,0.003259
surface_cnn,9,0.002892
surface_cnn,10,0.00305
ridge_tabular,1,-0.013877
ridge_tabular,2,-0.004677
ridge_tabular,3,-0.001099
ridge_tabular,4,-0.000052
ridge_tabular,5,0.002423
ridge_tabular,6,0.003168
ridge_tabular,7,0.003117
ridge_tabular,8,0.003729
ridge_tabular,9,0.004063
ridge_tabular,10,0.003244
gbm_tabular,1,-0.009552
gbm_tabular,2,-0.002537
gbm_tabular,3,-0.000208
gbm_tabular,4,-0.000345
gbm_tabular,5,0.000325
gbm_tabular,6,0.001346
gbm_tabular,7,0.001311
gbm_tabular,8,0.002983
gbm_tabular,9,0.003778
gbm_tabular,10,0.002928
