universe,model,rank_ic,ic_t,spread_pct,spread_t,turnover,sharpe_0,sharpe_10,sharpe_20,sharpe_50,alpha_annual,alpha_t,r_squared,n_dates,mean_names
crsp_500,ridge_tabular,0.02301,2.52,0.595,2.29,0.681,0.628,0.521,0.413,0.09,0.0349,1.92,0.124,235,493
crsp_500,surface_ridge,0.00541,0.84,0.2684,1.33,0.693,0.361,0.223,0.085,-0.328,0.0065,0.5,0.046,235,493
crsp_500,gbm_tabular,0.01467,2.05,0.2285,1.27,0.733,0.477,0.315,0.153,-0.332,0.0197,1.42,0.064,235,493
crsp_500,naive_reversal_5,0.01254,1.23,0.2029,1.01,0.808,0.263,0.139,0.015,-0.356,0.0135,0.69,0.053,235,493
crsp_500,logistic_tabular,0.02136,2.58,0.4928,2.05,0.706,0.583,0.463,0.343,-0.017,0.0287,1.65,0.112,235,493
crsp_500,naive_momentum_20,-0.00748,-0.83,0.1183,0.47,0.808,0.14,0.034,-0.071,-0.387,0.0021,0.08,0.028,235,493
crsp_500,naive_vol_scaled_momentum,-0.00839,-0.93,0.0005,0.0,0.807,0.08,-0.066,-0.212,-0.65,-0.0077,-0.48,0.009,235,493
crsp_500,surface_cnn,0.00376,0.31,0.4889,1.34,0.271,0.543,0.519,0.496,0.425,0.0647,1.85,0.046,235,493
crsp_500,naive_momentum_60,-0.00356,-0.45,0.0961,0.39,0.498,0.12,0.051,-0.017,-0.223,0.007,0.31,0.006,235,493
crsp_2000,naive_vol_scaled_momentum,-0.00556,-0.81,0.0662,0.35,0.806,0.154,-0.013,-0.18,-0.681,-0.0086,-0.62,0.034,235,1856
crsp_2000,gbm_tabular,0.02521,4.26,0.8234,3.75,0.679,1.091,0.975,0.858,0.51,0.0742,4.83,0.081,235,1856
crsp_2000,logistic_tabular,0.03172,3.4,1.0812,3.51,0.561,0.957,0.884,0.81,0.589,0.0807,4.1,0.095,235,1856
crsp_2000,ridge_tabular,0.03237,3.4,1.1323,3.57,0.548,0.972,0.903,0.834,0.626,0.0855,4.19,0.096,235,1856
crsp_2000,surface_cnn,0.02437,3.7,0.9782,4.51,0.565,1.5,1.403,1.307,1.018,0.1038,6.29,0.097,235,1856
crsp_2000,naive_reversal_5,0.00706,0.98,0.0777,0.4,0.808,0.07,-0.061,-0.192,-0.585,0.001,0.05,0.033,235,1856
crsp_2000,naive_momentum_60,-0.00013,-0.02,0.3023,1.22,0.49,0.248,0.179,0.109,-0.1,0.0162,0.77,0.009,235,1856
crsp_2000,naive_momentum_20,-0.00532,-0.79,0.1972,0.87,0.806,0.202,0.079,-0.044,-0.413,0.0005,0.03,0.029,235,1856
crsp_2000,surface_ridge,0.01468,3.35,0.651,4.33,0.691,1.421,1.247,1.074,0.554,0.0596,5.52,0.095,235,1856
